Player,First Name,Second Name,ESPN
Saquon Barkley,Saquon,Barkley,1
Christian McCaffrey,Christian,McCaffrey,2
Alvin Kamara,Alvin,Kamara,3
Ezekiel Elliott,Ezekiel,Elliott,4
DeAndre Hopkins,DeAndre,Hopkins,5
David Johnson,David,Johnson,6
Davante Adams,Davante,Adams,10
Le’Veon Bell,Le’Veon,Bell,8
James Conner,James,Conner,16
Julio Jones,Julio,Jones,11
Michael Thomas,Michael,Thomas,7
Odell Beckham Jr.,Odell,Beckham,13
Todd Gurley,Todd,Gurley,9
Travis Kelce,Travis,Kelce,15
JuJu Smith-Schuster,JuJu,Smith-Schuster,14
Tyreek Hill,Tyreek,Hill,12
Joe Mixon,Joe,Mixon,17
Nick Chubb,Nick,Chubb,21
Dalvin Cook,Dalvin,Cook,20
Antonio Brown,Antonio,Brown,19
Patrick Mahomes,Patrick,Mahomes,18
Mike Evans,Mike,Evans,22
Adam Thielen,Adam,Thielen,30
Keenan Allen,Keenan,Allen,23
Damien Williams,Damien,Williams,40
Leonard Fournette,Leonard,Fournette,24
Zach Ertz,Zach,Ertz,28
Kerryon Johnson,Kerryon,Johnson,29
George Kittle,George,Kittle,27
Devonta Freeman,Devonta,Freeman,26
Aaron Jones,Aaron,Jones,39
Josh Jacobs,Josh,Jacobs,33
Amari Cooper,Amari,Cooper,25
Stefon Diggs,Stefon,Diggs,36
T.Y. Hilton,T.Y.,Hilton,41
Melvin Gordon,Melvin,Gordon,32
Derrick Henry,Derrick,Henry,34
Julian Edelman,Julian,Edelman,31
Marlon Mack,Marlon,Mack,49
Brandin Cooks,Brandin,Cooks,35
Chris Carson,Chris,Carson,37
Robert Woods,Robert,Woods,42
Kenny Golladay,Kenny,Golladay,45
Deshaun Watson,Deshaun,Watson,38
David Montgomery,David,Montgomery,59
Mark Ingram,Mark,Ingram,44
Sony Michel,Sony,Michel,55
Tyler Lockett,Tyler,Lockett,50
Cooper Kupp,Cooper,Kupp,46
Chris Godwin,Chris,Godwin,54
James White,James,White,52
Phillip Lindsay,Phillip,Lindsay,65
Aaron Rodgers,Aaron,Rodgers,43
Tyler Boyd,Tyler,Boyd,62
Calvin Ridley,Calvin,Ridley,61
O.J. Howard,O.J.,Howard,57
Evan Engram,Evan,Engram,48
Mike Williams,Mike,Williams,56
A.J. Green,A.J.,Green,64
D.J. Moore,D.J.,Moore,60
Tarik Cohen,Tarik,Cohen,71
Alshon Jeffery,Alshon,Jeffery,51
Baker Mayfield,Baker,Mayfield,53
Tevin Coleman,Tevin,Coleman,80
Jarvis Landry,Jarvis,Landry,69
Hunter Henry,Hunter,Henry,63
Allen Robinson,Allen,Robinson,70
Austin Ekeler,Austin,Ekeler,82
Josh Gordon,Josh,Gordon,72
Robby Anderson,Robby,Anderson,79
Matt Ryan,Matt,Ryan,47
Jared Cook,Jared,Cook,58
Kenyan Drake,Kenyan,Drake,67
Derrius Guice,Derrius,Guice,76
Miles Sanders,Miles,Sanders,85
Will Fuller,Will,Fuller,88
Duke Johnson,Duke,Johnson,78
Carson Wentz,Carson,Wentz,73
Sammy Watkins,Sammy,Watkins,74
Vance McDonald,Vance,McDonald,83
Dede Westbrook,Dede,Westbrook,81
Eric Ebron,Eric,Ebron,124
Sterling Shepard,Sterling,Shepard,77
Christian Kirk,Christian,Kirk,95
Drew Brees,Drew,Brees,66
Corey Davis,Corey,Davis,107
Latavius Murray,Latavius,Murray,108
David Njoku,David,Njoku,86
Chicago Bears,Chicago,Bears,68
Jordan Howard,Jordan,Howard,114
Rashaad Penny,Rashaad,Penny,103
Russell Wilson,Russell,Wilson,93
Emmanuel Sanders,Emmanuel,Sanders,87
Larry Fitzgerald,Larry,Fitzgerald,99
Cam Newton,Cam,Newton,75
Jared Goff,Jared,Goff,98
Curtis Samuel,Curtis,Samuel,109
Darrell Henderson,Darrell,Henderson,127
Marvin Jones,Marvin,Jones,90
Courtland Sutton,Courtland,Sutton,120
Dante Pettis,Dante,Pettis,123
Royce Freeman,Royce,Freeman,100
LeSean McCoy,LeSean,McCoy,116
Kareem Hunt,Kareem,Hunt,140
Matt Breida,Matt,Breida,119
Austin Hooper,Austin,Hooper,102
Geronimo Allison,Geronimo,Allison,141
Marquez Valdes-Scantling,Marquez,Valdes-Scantling,142
Kyler Murray,Kyler,Murray,104
Ben Roethlisberger,Ben,Roethlisberger,97
Delanie Walker,Delanie,Walker,101
Peyton Barber,Peyton,Barber,110
James Washington,James,Washington,131
Jameis Winston,Jameis,Winston,154
Kalen Ballage,Kalen,Ballage,170
Jaylen Samuels,Jaylen,Samuels,176
Tom Brady,Tom,Brady,91
Lamar Jackson,Lamar,Jackson,122
Greg Zuerlein,Greg,Zuerlein,84
DeSean Jackson,DeSean,Jackson,128
Darwin Thompson,Darwin,Thompson,137
Donte Moncrief,Donte,Moncrief,129
Michael Gallup,Michael,Gallup,121
Philip Rivers,Philip,Rivers,139
Adrian Peterson,Adrian,Peterson,178
Jacksonville Jaguars,Jacksonville,Jaguars,94
Justin Tucker,Justin,Tucker,96
Dion Lewis,Dion,Lewis,160
Devin Singletary,Devin,Singletary,174
Nyheim Hines,Nyheim,Hines,115
Dak Prescott,Dak,Prescott,89
Tony Pollard,Tony,Pollard,156
Anthony Miller,Anthony,Miller,157
Ronald Jones II,Ronald,Jones,147
Tyrell Williams,Tyrell,Williams,146
D.K. Metcalf,D.K.,Metcalf,145
Greg Olsen,Greg,Olsen,132
Minnesota Vikings,Minnesota,Vikings,111
Trey Burton,Trey,Burton,136
Kirk Cousins,Kirk,Cousins,158
Golden Tate,Golden,Tate,149
Kyle Rudolph,Kyle,Rudolph,150
Jamison Crowder,Jamison,Crowder,118
Keke Coutee,Keke,Coutee,125
Harrison Butker,Harrison,Butker,113
Baltimore Ravens,Baltimore,Ravens,166
Justin Jackson,Justin,Jackson,194
Mitch Trubisky,Mitch,Trubisky,138
