Player,Pos,FantasyPoints,ESPN
C.MCCAFFREY,RB,469.2,2
L.JACKSON,QB,415.68,122
D.PRESCOTT,QB,335.7800000000001,89
R.WILSON,QB,326.6,93
D.WATSON,QB,318.98,38
E.ELLIOTT,RB,311.7,4
A.EKELER,RB,309.0,82
D.HENRY,RB,294.6,34
D.COOK,RB,292.4,20
K.MURRAY,QB,279.28,104
J.JONES,WR,274.1,11
C.WENTZ,QB,271.86,73
D.HOPKINS,WR,266.54,5
M.RYAN,QB,265.34,47
K.ALLEN,WR,261.5,23
L.FOURNETTE,RB,259.4,24
N.CHUBB,RB,255.2,21
S.BARKLEY,RB,244.1,1
K.COUSINS,QB,242.42,158
M.INGRAM,RB,238.5,44
J.LANDRY,WR,237.4,69
T.LOCKETT,WR,235.2,50
C.CARSON,RB,232.6,37
D.MOORE,WR,230.5,60
B.MAYFIELD,QB,227.18,53
J.MIXON,RB,225.4,17
T.BOYD,WR,222.9,62
C.SUTTON,WR,222.42,120
A.BROWN,WR,217.1,19
M.SANDERS,RB,216.7,85
L.BELL,RB,213.0,8
S.DIGGS,WR,212.1,36
O.BECKHAM,WR,201.3,13
M.TRUBISKY,QB,200.82,138
P.LINDSAY,RB,197.7,65
D.FREEMAN,RB,197.6,26
C.RIDLEY,WR,195.0,61
M.JONES,WR,193.9,90
J.JACOBS,RB,191.6,33
M.GORDON,RB,180.8,32
M.MACK,RB,179.29999999999995,49
K.ALLEN,QB,177.48,23
C.SAMUEL,WR,171.7,109
D.MONTGOMERY,RB,170.4,59
C.KIRK,WR,166.20000000000005,95
T.COHEN,RB,163.9,71
M.WILLIAMS,WR,161.29999999999995,56
D.JOHNSON,WR,157.1,6
D.JOHNSON,WR,157.1,78
D.JOHNSON,RB,154.0,6
D.JOHNSON,RB,154.0,78
D.WESTBROOK,WR,152.7,81
G.TATE,WR,152.2,149
D.SINGLETARY,RB,147.9,174
A.PETERSON,RB,147.0,178
J.CONNER,RB,145.5,16
R.FREEMAN,RB,142.2,100
D.JOHNSON,RB,141.5,6
D.JOHNSON,RB,141.5,78
S.SHEPARD,WR,139.79999999999998,77
A.MILLER,WR,127.5,157
A.JEFFERY,WR,122.2,51
A.THIELEN,WR,114.4,30
J.HOWARD,RB,111.4,114
E.ENGRAM,TE,109.4,48
N.HINES,RB,105.9,115
J.SAMUELS,RB,104.4,176
K.HUNT,RB,101.4,140
T.POLLARD,RB,87.2,156
K.JOHNSON,RB,85.0,29
V.MCDONALD,TE,83.5,83
R.PENNY,RB,75.3,103
D.LEWIS,RB,66.3,160
D.MOORE,WR,59.6,60
D.GUICE,RB,57.4,76
K.COUTEE,WR,52.8,125
K.BALLAGE,RB,51.8,170
K.JOHNSON,WR,44.0,29
J.JACKSON,RB,31.2,194
C.NEWTON,QB,16.68,75
D.JOHNSON,RB,15.2,6
D.JOHNSON,RB,15.2,78
