,Player,Tm,Age,G,GS,Tgt,Rec,Catch_Rate,ReceivingYds,ReceivingTD,FantasyPoints,Tgt_ranked,Rec_ranked,Catch_rate_ranked
66,Isaiah McKenzie,BUF,25.0,16,7,34,30,0.8823529411764706,282,5,70.0,80,78,1
24,Curtis Samuel,CAR,24.0,15,5,97,77,0.7938144329896907,851,3,135.0,37,21,2
78,Randall Cobb,HOU,30.0,10,2,48,38,0.7916666666666666,441,3,62.0,75,65,3
29,Chris Godwin,TAM,24.0,12,12,84,65,0.7738095238095238,840,7,126.0,47,33,4
0,Davante Adams,GNB,28.0,14,14,149,115,0.7718120805369127,1374,18,243.0,4,3,5
30,Cole Beasley,BUF,31.0,15,10,107,82,0.7663551401869159,967,4,126.0,29,18,6
2,Stefon Diggs,BUF,27.0,16,15,166,127,0.7650602409638554,1535,8,202.0,1,1,7
77,Demarcus Robinson,KAN,26.0,16,9,59,45,0.7627118644067796,466,3,63.0,68,61,8
21,JuJu Smith-Schuster,PIT,24.0,16,14,128,97,0.7578125,831,9,137.0,15,7,9
10,Tyler Lockett,SEA,28.0,16,16,132,100,0.7575757575757576,1054,10,165.0,11,6,10
52,Julio Jones,ATL,31.0,9,9,68,51,0.75,771,3,95.0,61,53,11
59,David Moore,SEA,25.0,16,6,47,35,0.7446808510638298,417,6,84.0,77,69,12
43,Emmanuel Sanders,NOR,33.0,14,5,82,61,0.7439024390243902,726,5,104.0,49,36,13
33,Cooper Kupp,LAR,27.0,15,12,124,92,0.7419354838709677,974,3,117.0,17,9,14
64,Antonio Brown,TAM,32.0,8,4,61,45,0.7377049180327869,483,4,72.0,66,62,15
49,Laviska Shenault Jr.,JAX,22.0,14,12,79,58,0.7341772151898734,600,5,99.0,53,42,16
51,Sterling Shepard,NYG,27.0,12,12,90,66,0.7333333333333333,656,3,97.0,43,31,17
58,Jakobi Meyers,NWE,24.0,14,9,81,59,0.7283950617283951,729,0,84.0,51,41,18
63,Hunter Renfrow,LVR,25.0,16,6,77,56,0.7272727272727273,656,2,76.0,57,45,19
9,DeAndre Hopkins,ARI,28.0,16,16,160,115,0.71875,1407,6,173.0,2,2,20
35,Tyler Boyd,CIN,26.0,15,8,110,79,0.7181818181818181,841,4,114.0,23,20,21
73,Allen Lazard,GNB,25.0,10,9,46,33,0.717391304347826,451,3,65.0,78,75,22
34,Jarvis Landry,CLE,28.0,15,14,101,72,0.7128712871287128,840,3,116.0,34,25,23
57,Rashard Higgins,CLE,26.0,13,6,52,37,0.7115384615384616,599,4,84.0,73,67,24
18,Amari Cooper,DAL,26.0,16,15,130,92,0.7076923076923077,1114,5,145.0,12,10,25
23,Will Fuller,HOU,26.0,11,11,75,53,0.7066666666666667,879,8,136.0,58,49,26
28,Corey Davis,TEN,25.0,14,12,92,65,0.7065217391304348,984,5,126.0,42,32,27
5,Justin Jefferson,MIN,21.0,16,14,125,88,0.704,1400,7,186.0,16,13,28
26,Robby Anderson,CAR,27.0,16,16,136,95,0.6985294117647058,1096,3,129.0,8,8,29
12,Robert Woods,LAR,28.0,16,16,129,90,0.6976744186046512,936,6,155.0,14,11,30
79,Willie Snead,BAL,28.0,13,8,48,33,0.6875,432,3,61.0,76,74,31
6,Adam Thielen,MIN,30.0,15,15,108,74,0.6851851851851852,925,14,180.0,28,23,32
15,Brandin Cooks,HOU,27.0,15,15,119,81,0.680672268907563,1150,6,151.0,18,19,33
17,Keenan Allen,LAC,28.0,14,13,147,100,0.6802721088435374,992,8,145.0,5,5,34
70,Tre'Quan Smith,NOR,24.0,14,10,50,34,0.68,448,4,69.0,74,70,35
11,Allen Robinson,CHI,27.0,16,16,151,102,0.6754966887417219,1250,6,161.0,3,4,36
61,Greg Ward,PHI,25.0,16,10,79,53,0.6708860759493671,419,6,80.0,54,47,37
19,CeeDee Lamb,DAL,21.0,16,14,111,74,0.6666666666666666,935,5,144.0,22,24,38
37,Jamison Crowder,NYJ,27.0,12,7,89,59,0.6629213483146067,699,6,113.0,44,40,39
60,Kendrick Bourne,SFO,25.0,15,5,74,49,0.6621621621621622,667,2,81.0,59,55,40
56,Mecole Hardman,KAN,22.0,16,8,62,41,0.6612903225806451,560,4,87.0,65,64,41
14,Marvin Jones,DET,30.0,16,16,115,76,0.6608695652173913,978,9,152.0,20,22,42
8,A.J. Brown,TEN,23.0,14,12,106,70,0.660377358490566,1075,11,178.0,30,28,43
39,Russell Gage,ATL,24.0,16,8,110,72,0.6545454545454545,786,4,109.0,24,26,44
22,Terry McLaurin,WAS,25.0,15,15,134,87,0.6492537313432836,1118,4,137.0,10,15,45
38,Tim Patrick,DEN,27.0,15,15,79,51,0.6455696202531646,742,6,110.0,55,52,46
1,Tyreek Hill,KAN,26.0,15,15,135,87,0.6444444444444445,1276,15,242.0,9,16,47
4,D.K. Metcalf,SEA,23.0,16,16,129,83,0.6434108527131783,1303,10,188.0,13,17,48
7,Mike Evans,TAM,27.0,16,16,109,70,0.6422018348623854,1006,13,179.0,25,27,49
65,Josh Reynolds,LAR,25.0,16,13,81,52,0.6419753086419753,618,2,72.0,50,51,50
75,John Brown,BUF,30.0,9,8,52,33,0.6346153846153846,458,3,64.0,72,73,51
3,Calvin Ridley,ATL,26.0,15,15,143,90,0.6293706293706294,1374,9,192.0,7,12,52
48,Keelan Cole,JAX,27.0,16,5,88,55,0.625,642,5,100.0,45,46,53
31,Brandon Aiyuk,SFO,22.0,12,11,96,60,0.625,748,5,125.0,38,38,54
67,Scott Miller,TAM,23.0,16,5,53,33,0.6226415094339622,501,3,70.0,71,72,55
54,Darnell Mooney,CHI,23.0,16,9,98,61,0.6224489795918368,631,4,91.0,36,37,56
27,Tee Higgins,CIN,21.0,16,14,108,67,0.6203703703703703,908,6,128.0,27,29,57
53,Zach Pascal,IND,26.0,16,14,71,44,0.6197183098591549,629,5,93.0,60,63,58
45,DeVante Parker,MIA,27.0,14,11,103,63,0.6116504854368932,793,4,103.0,33,34,59
25,Diontae Johnson,PIT,24.0,15,13,144,88,0.6111111111111112,923,7,134.0,6,14,60
72,Damiere Byrd,NWE,27.0,16,14,77,47,0.6103896103896104,604,1,68.0,56,59,61
50,Christian Kirk,ARI,24.0,14,10,79,48,0.6075949367088608,621,6,98.0,52,56,62
40,T.Y. Hilton,IND,31.0,15,15,93,56,0.6021505376344086,762,5,108.0,40,44,63
20,Nelson Agholor,LVR,27.0,16,13,82,48,0.5853658536585366,896,8,138.0,48,57,64
32,Marquise Brown,BAL,23.0,16,14,100,58,0.58,769,8,125.0,35,43,65
47,DJ Chark,JAX,24.0,13,12,93,53,0.5698924731182796,706,5,101.0,41,48,66
13,Chase Claypool,PIT,22.0,16,6,109,62,0.5688073394495413,873,9,153.0,26,35,67
62,Travis Fulgham,PHI,25.0,13,8,67,38,0.5671641791044776,539,4,78.0,62,66,68
42,Mike Williams,LAC,26.0,15,11,85,48,0.5647058823529412,756,5,106.0,46,58,69
46,Gabriel Davis,BUF,21.0,16,11,62,35,0.5645161290322581,599,7,102.0,64,68,70
36,Michael Gallup,DAL,24.0,16,15,105,59,0.5619047619047619,843,5,114.0,31,39,71
16,D.J. Moore,CAR,23.0,15,14,118,66,0.559322033898305,1193,4,146.0,19,30,72
71,James Washington,PIT,24.0,16,7,56,30,0.5357142857142857,392,5,69.0,69,77,73
74,Odell Beckham Jr.,CLE,28.0,7,7,43,23,0.5348837209302325,319,3,64.0,79,80,74
44,Marquez Valdes-Scantling,GNB,26.0,16,12,63,33,0.5238095238095238,690,6,104.0,63,71,75
55,Darius Slayton,NYG,23.0,16,15,96,50,0.5208333333333334,751,3,91.0,39,54,76
68,Jalen Guyton,LAC,23.0,16,9,55,28,0.509090909090909,511,3,69.0,70,79,77
69,Breshad Perriman,NYJ,27.0,12,12,60,30,0.5,505,3,69.0,67,76,78
41,Jerry Jeudy,DEN,21.0,16,14,113,52,0.46017699115044247,856,3,106.0,21,50,79
76,A.J. Green,CIN,32.0,16,14,104,47,0.4519230769230769,523,2,64.0,32,60,80
